gene1|gene2|experiment_type|reference
ITGB4|COL17A1|in vivo;yeast 2-hybrid|9660880,14668477
KRT18|COL17A1|in vitro;yeast 2-hybrid|10022517
CTNND1|COL17A1|in vitro;yeast 2-hybrid|10321838
LAD1|COL17A1|in vitro|9665393
PPL|COL17A1|yeast 2-hybrid|9521878
ACTN4|COL17A1|in vivo;yeast 2-hybrid|11739652
C5|C5AR1|in vitro|9553099
GNAI2|C5AR1|in vitro|7962171
RPS19|C5AR1|in vivo|11733378
GPR77|C5AR1|in vivo|11773063
CTNNA1|CDH15|in vitro|9168809
CTNNB1|CDH15|in vitro|9545347
JUP|CDH15|in vitro|9168809
ARVCF|CDH15|in vitro;in vivo;yeast 2-hybrid|11058098
GNA12|CDH15|in vitro;yeast 2-hybrid|11136230
CDH7|CDH15|in vivo|10861224
BOC|CDH15|in vivo|12634428
CDH9|CDH15|in vivo|10861224
CDON|CDH15|in vivo|12634428
CTNNA1|CDH2|in vitro|12604612
CTNNB1|CDH2|in vitro|12151522,12604612
FGFR4|CDH2|in vitro|9168198
GRIK2|CDH2|in vivo|12151522
PIK3R1|CDH2|in vitro|15192701
JUP|CDH2|in vivo|1639850,12604612
PTPN1|CDH2|in vitro|12377785
ARVCF|CDH2|in vitro;in vivo|11058098
GRIN2D|CDH2|in vivo|10862698
CDH4|CDH2|in vivo|10662782
GNA12|CDH2|in vitro;yeast 2-hybrid|11136230
GNA13|CDH2|in vitro;yeast 2-hybrid|11136230
CDH11|CDH2|in vivo|14625392
LRRC7|CDH2|in vitro;in vivo|11729199
BOC|CDH2|in vivo|12634428
GRIN1|CDH2|in vivo|10862698
CDON|CDH2|in vivo|12634428
CDH3|CDH3|in vitro|11909859
CTNNA1|CDH3|in vivo|1924379,8227214,10381631
CTNNB1|CDH3|in vivo|11889072,8227214,12800191,10381631
CTNND1|CDH3|in vivo|8660921
EP300|OLIG2|in vitro|14576772
PTPN14|CTNNA2|in vitro|12808048
IMPA1|CALB1|in vitro|12176979
RANBP9|CALB1|in vitro;in vivo;yeast 2-hybrid|12684061
EP300|TP73L|in vitro;in vivo|15965232
KRT1|CALB2|in vivo|10942575
TUBA4A|CALB2|in vivo|10942575
CR2|ANXA6|in vitro|1831222
RASA1|ANXA6|in vitro;in vivo|8798684,10571081
S100A1|ANXA6|in vitro|9883272
S100B|ANXA6|in vitro|9883272
ANXA2|S100A10|in vitro|8898866,2148288,12660155
PLG|S100A10|in vitro|11939791
ANXA7|S100A10|in vitro|1533123
BAD|S100A10|in vivo;yeast 2-hybrid|9369453
KCNK3|S100A10|in vitro;in vivo;yeast 2-hybrid|12198146
TRPV6|S100A10|in vitro|12660155
CAPNS1|CAST|in vitro|12684003
CAPN1|CAST|in vitro|12684003
CASP1|CAST|in vitro|9705209
PPP3CA|PPP3CA|in vitro|12574411
GABRA1|PPP3CA|in vitro|12574411
GABRG2|PPP3CA|in vitro|12574411
SOD1|PPP3CA|in vitro|11513882
BCL2|PPP3CA|in vivo|9109491,7593193
PRKCZ|PPP3CA|in vivo|12021260
FKBP1A|PPP3CA|in vitro|7543369
GABRB2|PPP3CA|in vitro|12574411
CASP3|PPP3CA|in vitro|11478781
PPP3R1|PPP3CA|in vitro;in vivo|11439183
PPP3CA|DSCR1|in vitro;in vivo|10861295,12063245
AKAP5|PPP3CA|in vitro;in vivo|9765270,7528941
FKBP8|PPP3CA|in vivo|12510191
DSCR1L1|PPP3CA|in vitro;in vivo;yeast 2-hybrid|10861295,12102656
MYOZ2|PPP3CA|in vivo;yeast 2-hybrid|11842093
SYNJ1|PPP3CA|in vitro|14704270
MYOZ3|PPP3CA|in vitro;in vivo|11842093
PPP3CB|NFATC2|in vitro;in vivo|9660947,11030334
SOCS3|PPP3CB|in vitro;in vivo|11970967
MYOZ2|PPP3CB|in vivo|11114196
MYOZ3|PPP3CB|in vivo|11842093
S100A6|S100A6|in vitro|11937060
GAPDH|S100A6|in vitro|1999197
ANXA2|S100A6|in vitro|1999197
S100B|S100A6|in vivo;yeast 2-hybrid|9925766,10913138
ANXA11|S100A6|in vitro;in vivo|12601007,1299619,10037139
CACYBP|S100A6|in vivo|12042313
CALCA|CALCA|in vivo|11389975,10754330
RAMP1|CALCA|in vivo|12234182
AP1M1|FXR2|yeast 2-hybrid|16189514
CALCRL|CALCA|in vitro;in vivo|9620797,8626685,14668209,3001670,12234182
MBL2|CALCR|in vivo|11560994
RAMP1|CALCR|in vitro|10385705
RAMP3|CALCR|in vitro|10385705
CAPN1|CAPNS1|in vivo|12591934
CAPN2|CAPNS1|in vitro|10666632,10639123,11673052,11517928
IL2RG|CAPNS1|yeast 2-hybrid|9326644
CALM1|CALM1|in vitro;in vivo|10757985,10075700
EGFR|CALM1|in vitro;in vivo|12153558
ESR1|CALM1|in vivo|11981030
EWSR1|CALM1|in vitro|9341188
FAS|CALM1|in vitro;in vivo|14594800
GRK4|CALM1|in vitro|9092566
HSP90AA1|CALM1|in vitro;in vivo|8486648
TCF3|CALM1|in vitro;in vivo|10757985
INSR|CALM1|in vitro;in vivo|12153558,8639568
MAPT|CALM1|in vitro|2123288
MYOD1|CALM1|in vitro|10757985
MYOG|CALM1|in vitro|10757985
MYF5|CALM1|in vitro|10757985
MYF6|CALM1|in vitro|10757985
SNCA|CALM1|in vitro|12358748
SNRPG|C14orf1|yeast 2-hybrid|16169070
CCND1|CALM1|in vivo|9837900
PDE1A|CALM1|in vitro|12135876
PHKG1|CALM1|in vitro;in vivo|2507540
RAB3B|CALM1|in vitro|11741295
GRK1|CALM1|in vitro|9753452
RYR1|CALM1|in vitro|12509414
TTN|CALM1|in vitro|11178895
SNRPG|DDIT4L|yeast 2-hybrid|16189514
SNRPG|COPS6|yeast 2-hybrid|16169070
SNRPG|KIAA1377|yeast 2-hybrid|16169070
PPEF1|CALM1|in vitro;in vivo|12051765
NME5|DYDC2|yeast 2-hybrid|16189514
OPRM1|CALM1|in vitro;in vivo|11457836
CNN1|CALM1|in vitro;in vivo|2455687,2161834
MYLK|CALM1|in vitro|7947686
SNTA1|CALM1|in vivo|9512352
ESR2|CALM1|in vivo|11981030
NEUROD1|CALM1|in vitro|10757985
ASCL2|CALM1|in vitro|10757985
NME5|DYDC1|yeast 2-hybrid|16189514
TRPV1|CALM1|in vitro;in vivo|12808128
CAMK2G|CALM1|in vitro|10860555
MYO9B|CALM1|in vitro|9490638
KCNQ2|CALM1|in vitro;in vivo;yeast 2-hybrid|12032157
PPEF2|CALM1|in vitro;in vivo|12051765
TCF4|CALM1|in vitro|10757985
NOL4|SNAPC5|yeast 2-hybrid|16189514
TOP3B|CHIC2|yeast 2-hybrid|16189514
GRM7|CALM1|in vitro;in vivo|11953448,10488094,15494036
GRM5|CALM1|in vivo|11953448
AKAP5|CALM1|in vitro|9202019
CAMK1|CALM1|in vitro|7559563,12475216
YWHAE|CALM1|in vitro;yeast 2-hybrid|10088721
LYST|CALM1|in vivo;yeast 2-hybrid|11984006
STC2|POLR2C|yeast 2-hybrid|16169070
CBFA2T2|MDFI|yeast 2-hybrid|16189514
KCNQ3|CALM1|in vitro;in vivo;yeast 2-hybrid|12032157,12223552
EDF1|CALM1|in vitro;in vivo|10816571
CALM1|IQGAP2|in vivo|8756646
CBFA2T2|C8orf32|yeast 2-hybrid|16189514
KCNN2|CALM1|in vitro;in vivo|11323678
RIT2|CALM1|in vitro|8824319
KCNQ5|CALM1|in vitro;in vivo;yeast 2-hybrid|12032157
RPS15A|ELF5|yeast 2-hybrid|16189514
CALD1|CALM2|in vivo|11736632
EGFR|CALM2|in vitro;in vivo|12153558
ESR1|CALM2|in vivo|11981030
INSR|CALM2|in vitro;in vivo|12153558
MYOD1|CALM2|in vitro|10757985
MYOG|CALM2|in vitro|10757985
MYF5|CALM2|in vitro|10757985
MYF6|CALM2|in vitro|10757985
RPS28|EEF1G|yeast 2-hybrid|16169070
RAB3B|CALM2|in vitro|11741295
PPEF1|CALM2|in vitro;in vivo|12051765
DLG1|CALM2|in vitro|12189141
ESR2|CALM2|in vivo|11981030
NEUROD1|CALM2|in vitro|10757985
ASCL2|CALM2|in vitro|10757985
KCNQ2|CALM2|in vitro;in vivo;yeast 2-hybrid|12032157
PPEF2|CALM2|yeast 2-hybrid|12051765
TCF4|CALM2|in vitro|10757985
GRM7|CALM2|in vivo|11953448
GRM5|CALM2|in vivo|9242710,11953448
PCNT|CALM2|in vivo|12221128,10823944
MARCKS|CALM2|in vitro|12577052
KCNQ3|CALM2|in vitro;in vivo;yeast 2-hybrid|12032157
EDF1|CALM2|in vitro;in vivo|10816571
IQCB1|CALM2|in vivo;yeast 2-hybrid|15723066
KCNQ5|CALM2|in vitro;in vivo;yeast 2-hybrid|12032157
CALD1|CALM3|in vivo|11736632
EGFR|CALM3|in vitro;in vivo|12153558
ESR1|CALM3|in vivo|11981030
TCF3|CALM3|in vitro;in vivo|10757985
INSR|CALM3|in vitro;in vivo|12153558
MYOD1|CALM3|in vitro|10757985
MYOG|CALM3|in vitro|10757985
MYF5|CALM3|in vitro|10757985
MYF6|CALM3|in vitro|10757985
RPS26|TSR2|yeast 2-hybrid|16189514
UBE2L3|ARIH2|yeast 2-hybrid|16169070
IKBKAP|SNAPAP|yeast 2-hybrid|16169070
IKBKAP|CCT5|yeast 2-hybrid|16169070
RAB3B|CALM3|in vitro|11741295
IKBKAP|C11orf79|yeast 2-hybrid|16169070
PPEF1|CALM3|in vitro;in vivo|12051765
ESR2|CALM3|in vivo|11981030
NEUROD1|CALM3|in vitro|10757985
ASCL2|CALM3|in vitro|10757985
KCNQ2|CALM3|in vitro;in vivo;yeast 2-hybrid|12032157
PPEF2|CALM3|in vitro;in vivo|12051765
TCF4|CALM3|in vitro|10757985
CSNK2A1|CAV1|in vitro|8058322
PIN1|CSNK2A1|in vitro;in vivo|11940573
CSNK2A1|HDAC1|in vitro|11602581
CSNK2A1|HCLS1|in vitro|10806407
DVL1|CSNK2A1|in vivo|10806215
DVL3|CSNK2A1|in vitro;in vivo|10806215
PAFAH1B1|CSNK2A1|in vitro|10491172
CSNK2A1|EIF5|in vitro;in vivo|11861906
CSNK2A1|GMFB|in vitro|9030586,7598724
CSNK2A1|PTEN|in vitro;in vivo|12297295
CSNK2A1|VDR|in vitro|8622969
CSNK2A1|PPP1R2|in vitro|8288648
CSNK2A1|BID|in vitro;in vivo|11583622
CSNK2A1|EIF4EBP1|in vitro;in vivo|9806882,11146653,12588975
CSNK2A1|TCF7L2|in vitro|11711551
PAK1|CSNK2A1|in vivo|10938077
CSNK2A1|PPP1R8|in vitro|9407077
CSNK2A1|IL16|in vitro;in vivo|12450396
CSNK2A1|KIF1C|in vitro;in vivo|10559254
RPL5|CSNK2A1|in vitro|10491318
CSNK2A1|EIF2B5|in vitro;in vivo|11500362
CSNK2A1|PPP1R1B|in vitro|2557337
CSNK2A1|FAF1|in vitro|11378439,11713579
BRF1|CSNK2A1|in vitro;in vivo|11997511
CSNK2A1|CTDP1|in vitro;in vivo|12591939
CSNK2A1|CDC37|in vivo|12930845,15082798
CSNK2A1|RGS19|in vivo|10760275,10993892
CSNK2A1|HDAC2|in vitro;in vivo|12176973,12082111
CSNK2A1|NOL3|in vitro;in vivo|12191471
CSNK2A1|SPIB|in vitro;in vivo|8632909,10618498
CSNK2A1|VAMP4|in vitro|14608369,15345747
CSNK2A1|PACS1|in vitro;in vivo|14633983
HSPB8|CSNK2A1|in vitro|11342557
FIBP|CSNK2A1|in vitro;in vivo|12145206
CSNK2A1|ERH|in vitro|9074495
CSNK2A1|HSPH1|in vitro|12558502,10772927
PSMA4|CSNK2A1|in vitro|8619999
CSNK2A1|ACCN3|in vitro|9886053
NAP1L4|CSNK2A1|in vitro|10764593
PLEKHO1|CSNK2A1|in vitro;in vivo;yeast 2-hybrid|10799509
CSNK2A1|UBE2R2|in vitro;in vivo|12037680
FLG|CSNK2A1|in vitro|8270625
CSNK2A1|GABRR1|in vitro|12175859
GABRR2|CSNK2A1|in vitro|12175859
CFDP1|CSNK2A1|in vitro|10350657
CSNK2A1|CALM1|in vitro;in vivo|11827172,8206911,1520270,8639568
CSNK2A1|KLF1|in vitro;in vivo|9722526
CSNK2A1|PGR|in vitro|7983041
CSNK2A1|PSMA3|in vitro;in vivo|8619999
CSNK2B|CSNK2B|in vitro;in vivo;yeast 2-hybrid|11710515,9571630,9188720,1939094
CSNK2A2|CSNK2B|in vivo;yeast 2-hybrid|9571630,14667819
CSNK2B|CTNNB1|in vitro;in vivo|12432063
CDKN1A|CSNK2B|in vitro|10679299
CDC2|CSNK2B|in vitro;in vivo|7578274
CSNK2B|CDC34|in vitro;in vivo|11546811
CDC25B|CSNK2B|in vivo|12527891
TOP2B|CSNK2B|in vitro|11710515
FGF1|CSNK2B|in vitro|12145206
SHMT2|CSNK2B|in vitro|10549165
CSNK2B|HOXB6|in vivo|10327653
CSNK2B|IRS1|in vitro|8349691
LYN|CSNK2B|yeast 2-hybrid|14667819
PRKCZ|CSNK2B|in vitro;in vivo|10764587
SHMT1|CSNK2B|in vitro|10549165
CSNK2B|TP53|in vitro;in vivo|10214938,10747897,11709713,11883897,10951572
ZNF44|CSNK2B|yeast 2-hybrid|14667819
ARAF|CSNK2B|in vitro;yeast 2-hybrid|9042965
MAPK14|CSNK2B|in vivo|10747897
PIN1|CSNK2B|in vitro;in vivo|11940573
CSNK2B|EIF5|in vitro;in vivo|11861906
CSNK2B|BID|in vitro;in vivo|11583622
NOLC1|CSNK2B|in vitro;in vivo|9013635
BTF3|CSNK2B|in vitro;yeast 2-hybrid|10094400
CSNK2B|OCLN|in vitro|12804768
MBD4|CSNK2B|yeast 2-hybrid|14667819
RPL5|CSNK2B|in vitro;in vivo;yeast 2-hybrid|11710515,9738462,9042965,8806611,10491318,14667819
CSNK2B|RNF7|in vitro;in vivo|11710515,12748192,12470599
FAF1|CSNK2B|in vitro|11378439,11713579,10094392
CSNK2B|CTDP1|in vitro;in vivo|12591939
GADD45GIP1|CSNK2B|in vitro;yeast 2-hybrid|11710515
CSNK2B|CD163|in vitro;in vivo;yeast 2-hybrid|11298324
LYST|CSNK2B|in vitro;yeast 2-hybrid|11984006
FIBP|CSNK2B|in vitro|12145206
ZNHIT1|CSNK2B|yeast 2-hybrid|14667819
RPL41|CSNK2B|in vitro;in vivo;yeast 2-hybrid|9299532,11710515
PAX8|EP300|in vitro|10924503
CSNK2A2|CLTB|in vitro|3128543,2874131
ATF1|CSNK2A2|in vitro;in vivo|9685505
ATF2|CSNK2A2|in vitro|9685505
CSNK2A2|CREM|in vitro;in vivo|8404858
FGF1|CSNK2A2|in vitro;in vivo|12145206
FGF2|CSNK2A2|in vitro;in vivo|7735329
HSP90AA1|CSNK2A2|in vitro|7794926
CSNK2A2|PTPRC|in vivo|10066810
CSNK2A2|LGALS3|in vitro;in vivo|10961987,8253806
CSNK2A2|MYF5|in vitro|9461343
CSNK2A2|SNCA|in vitro;in vivo|10617630,10852916
CSNK2A2|HNRPC|in vitro;in vivo|12564933
NCL|CSNK2A2|in vivo|8663258
FOS|CSNK2A2|in vitro|9685505
CSNK2A2|MYCN|in vitro;in vivo|1425701
CSNK2A2|SPP1|in vitro|8663267
CSNK2A2|PTPN1|in vitro;in vivo|8491187,9600099
CSNK2A2|STX1A|in vitro;in vivo|10844023,9930733
CSNK2A2|MYC|in vivo|2663470
HSP90B1|CSNK2A2|in vitro|11557039
CSNK2A2|SLC18A2|in vitro|9045708
CSNK2A2|ACACA|in vitro|2900140
CSNK2A2|PIN4|in vitro;in vivo|12860119
CSNK2A2|WAS|in vitro;in vivo|12769847
CSNK2A2|SAT1|in vitro|8954982
CREBBP|CSNK2A2|in vitro|9685505
MAPK14|CSNK2A2|in vivo|10747897
CTNNA3|CTNNB1|in vivo|11590244
CBY1|CTNNB1|in vitro;in vivo|12712206
CTNNBIP1|CTNNB1|in vitro;in vivo;yeast 2-hybrid|10898789,12417602,12408825
APC2|CTNNB1|in vitro;in vivo|10021369,9823329
CDH16|CTNNB1|in vivo|15023525
CDH7|CTNNB1|in vivo|10861224
BOC|CTNNB1|in vivo|12634428
CDH24|CTNNB1|in vivo|12734196
CDH9|CTNNB1|in vivo|10861224
AJAP1|CTNNB1|in vitro;in vivo|14595118
GRIN1|CTNNB1|in vivo|10862698
MAGI2|CTNNB1|in vivo|11826105
NEURL2|CTNNB1|in vitro;in vivo;yeast 2-hybrid|14960280
CDON|CTNNB1|in vivo|12634428
SOX17|CTNNB1|in vitro;in vivo|15163629
USP13|FNBP1L|yeast 2-hybrid|16169070
CTNNB1|CHD8|in vitro|11744694
CTNNB1|TAX1BP3|in vitro;in vivo;yeast 2-hybrid|12874278
ANXA2|CTSB|in vivo|10777578
CTSB|AGC1|in vitro|1326552
CTSB|INS|in vitro|6351842
CTSB|REN|in vitro;in vivo|1597471,2061332,3542996,9928950
CSTA|CTSB|in vitro;in vivo|10353845,14503883,9585570
CSTB|CTSB|in vitro;in vivo|11514663
CST7|CTSB|in vitro|9632704,9733783
CST3|CTSB|in vitro|1996959,7890620,11115496
SERPINB13|CTSB|in vitro|10512713
MARCKS|CTSB|in vitro|9295331
USP13|MRPL20|yeast 2-hybrid|16169070
CTSB|PLAU|in vivo|1900515
CSTA|CTSH|in vitro|12581647
CSTB|CTSH|in vitro;in vivo|11514663
CTSG|C3|in vitro|1861080
CTSG|SERPIND1|in vitro|2318847
CTSG|IGFBP3|in vitro;in vivo|10512690
CTSG|PARP1|in vitro|11536009
SDC1|CTSG|in vitro|9565572
THBS1|CTSG|in vitro|8408036
F5|CTSG|in vitro|9718313
KNG1|CTSG|in vitro|11920276
GP1BA|CTSG|in vitro|8400294
CAMP|CTSG|in vitro;in vivo|11389039
CTSG|CXCL12|in vitro;in vivo|11241273
CTSG|F2RL1|in vitro|10978167
F2RL2|CTSG|in vivo|11307827
SERPINB13|CTSG|in vitro|12504904
PPBP|CTSG|in vitro|1387511,1873479
CTSG|F2R|in vitro|10978167
CTSG|SELPLG|in vivo|11520793
FN1|CTSD|in vivo|3988746
CTSD|IGFBP3|in vitro|9275067
CTSD|IGFBP4|in vitro|9275067
CTSD|INS|in vitro;in vivo|11779865
PSAP|CTSD|in vivo|12083803
CD4|CTSD|in vitro|11581410
CTSD|TG|in vitro|1939080
CSTB|CTSD|in vitro|3261170
CTSD|CCL21|in vitro|12651610
CTSD|CST3|in vitro|2013314
RPL23|BCCIP|yeast 2-hybrid|16189514
STC2|POLR3F|yeast 2-hybrid|16169070
CTSD|SERPINA4|in vitro|11341921,11258665
CTSD|CTSB|in vitro|10876156
CST5|CTSS|in vitro|8083219
PLCG1|CTSS|in vitro;in vivo|9164868
KNG1|CTSS|in vitro|8706894
SERPINB3|CTSS|in vitro|9548757
SERPINB4|CTSS|in vitro|10852705
CST3|CTSS|in vitro|7890620,11115496
CTSL1|CTSL1|in vitro|9585570
CTSL1|CUTL1|in vitro;in vivo|15099520
COL18A1|CTSL1|in vitro|10716919
GATA2|HHEX|in vitro|15016828
CTSL1|IGFBP3|in vitro|11801256
CTSL1|IL8|in vitro|12818188
RXRA|CTSL1|in vitro|9918848,9837884
CSTA|CTSL1|in vitro|12921779,9585570
CD7|CTSL1|in vivo|8666891
CTSL1|TG|in vitro|1939080
CTSL1|PLAU|in vitro|1551416
KNG1|CTSL1|in vitro|11517935
SERPINB3|CTSL1|in vitro|9548757
CSTB|CTSL1|in vitro;in vivo|11514663
CTSL1|CTSC|in vitro|11327826
CST7|CTSL1|in vitro|9632704,9733783
CTSL1|CST3|in vitro|10428479
CTSL1|SERPINB13|in vitro|12504904,12809493
CTSL1|ARSA|in vitro|11777924
NFATC1|EP300|in vitro;in vivo|15117818
NFYB|EP300|in vitro;in vivo|10075648
CTSE|INS|in vitro|1959628,195962
CTSE|EDN3|in vitro|2226872
CDC2|CUTL1|in vitro|11584018
CDC25A|CUTL1|in vitro;in vivo|11584018
HMGB1|CUTL1|in vitro|11748221
RB1|CUTL1|in vivo;yeast 2-hybrid|12891711
SDC3|CUTL1|in vitro|8662884
CREBBP|CUTL1|in vitro;in vivo|10852958
SATB1|CUTL1|in vitro;in vivo|10373541
PSCD2|CUTL1|in vitro;in vivo;yeast 2-hybrid|12052827
PCAF|CUTL1|in vitro|10852958
GATA6|HHEX|yeast 2-hybrid|15016828
CEBPA|CEBPA|in vivo|11893744
CEBPD|CEBPA|in vitro|1840554
CDKN1A|CEBPA|in vitro|9372966
CDK2|CEBPA|in vitro;in vivo|11684017
RBL1|CEBPA|in vivo|10082561
MSX2|CEBPA|in vitro;in vivo|12925529
ATF2|CEBPA|in vitro;in vivo;yeast 2-hybrid|9139739,14734562
CDK4|CEBPA|in vivo|11684017
CDKN3|CEBPA|in vivo|11684017
DBP|CEBPA|in vivo|8499951
NR3C1|CEBPA|in vitro;in vivo|11818365
TCF1|CEBPA|in vitro|8288579
SPI1|CEBPA|in vitro;in vivo|12091339
RB1|CEBPA|in vitro|10082561
NFYA|CEBPA|in vitro;in vivo|15150264
CEBPB|CEBPA|in vitro|1840554
MYC|CEBPA|in vitro;in vivo|12873812
SUMO3|CEBPA|in vitro;in vivo|12511558
CEBPG|CEBPD|in vitro;in vivo|12177065
RELA|CEBPD|in vivo|9570146
RB1|CEBPD|in vivo|8946919
CEBPB|CEBPD|in vitro|1840554
CDK2|CDKN1A|in vitro|12839982
CDK3|CDKN1A|in vivo|9811456
CDK4|CDKN1A|in vitro|15232106
CCND3|CDKN1A|in vitro|15232106
CCNE1|CDKN1A|in vitro|8756624
XRCC6|CDKN1A|in vivo|9798959
AKT1|CDKN1A|in vitro;in vivo|11756412
PIM1|CDKN1A|in vitro;in vivo|12431783
CCND1|CDKN1A|in vitro;in vivo|8657154,7478582,9837900
PARP1|CDKN1A|in vitro;in vivo|12930846
PCNA|CDKN1A|in vitro|12964161,12930846,8861913
CSNK2A2|AQP4|in vitro|11742978
CSNK2A2|GTF2A1|in vitro;in vivo|11278496
CSNK2A2|EEF1B2|in vivo|14729942,15302935,8547318,15345747
HMGA2|CSNK2A2|in vitro|11034995
CSNK2A2|HMGA1|in vitro|11034995,2806554
CSNK2A2|CAV1|in vitro|8058322
PIN1|CSNK2A2|in vitro|11940573
CSNK2A2|HDAC1|in vitro|11602581
CSN3|CSNK2A2|in vitro|11827172
CSNK2A2|PTEN|in vitro;in vivo|12297295
CSNK2A2|PPP1R2|in vitro|8288648
CSNK2A2|BID|in vitro;in vivo|11583622
CSNK2A2|EIF4EBP1|in vitro;in vivo|9806882,11146653,12588975
CSNK2A2|TCF7L2|in vitro|11711551
PAK1|CSNK2A2|in vivo|10938077
CSNK2A2|PPP1R8|in vitro|9407077
CSNK2A2|IL16|in vitro;in vivo|12450396
CSNK2A2|KIF1C|in vitro;in vivo|10559254
CSNK2A2|EIF2B5|in vitro;in vivo|11500362
CSNK2A2|PPP1R1B|in vitro|2557337
CSNK2A2|CTDP1|in vitro;in vivo|12591939
CSNK2A2|CDC37|in vivo|12930845
CSNK2A2|RGS19|in vivo|10760275,10993892
CSNK2A2|HDAC2|in vitro|12082111
CSNK2A2|SPIB|in vitro;in vivo|10618498
KLF1|CSNK2A2|in vitro;in vivo|9722526
CSNK2A2|ERH|in vitro|9074495
CSNK2A2|HSPH1|in vitro|12558502,10772927
NAP1L4|CSNK2A2|in vitro|10764593
CSNK2A2|CABP1|in vitro|14685260
CSNK2A2|UBE2R2|in vitro;in vivo|12037680
CSNK2A2|CALM1|in vitro;in vivo|8639568,8206911,1520270
STK4|CSN1S1|in vitro|7665586
TTBK1|CSN1S1|in vitro|7556643
PPM1J|CSN1S1|in vitro|12633878
ELA1|CSN2|in vitro|9187653
CSN3|CSN2|in vitro|12146463
NEK1|CSN2|in vitro|1382974
ABL2|CAT|in vitro;in vivo|12777400
PTPN11|CAT|in vitro|15556604
GIPC1|TYRP1|in vitro;in vivo;yeast 2-hybrid|11441007
XRN2|COMT|yeast 2-hybrid|15231747
CTNNB1|CTNNA1|in vitro|7706414,9110993,9512503
MLLT4|CTNNA1|in vitro|11907041
JUP|CTNNA1|in vitro;in vivo|7650039,9110993,7890674
SPTAN1|CTNNA1|in vitro;in vivo|11069925
VCL|CTNNA1|in vitro;in vivo|9700171
CDH5|CTNNA1|in vivo|12003790
PKD1|CTNNA1|in vitro;in vivo|11274246
CA9|CTNNA1|in vitro;in vivo|14567991
TJP2|CTNNA1|in vitro|10026224
FAM84B|CTNNA1|yeast 2-hybrid|12477722
JUB|CTNNA1|in vitro;in vivo|12417594
CEBPA|CTNNB1|in vitro|12861022
VIL2|CTNNB1|in vivo|10462524
EGFR|CTNNB1|in vivo|9233779
FYN|CTNNB1|in vitro|12640114
GRIK2|CTNNB1|in vitro;in vivo|12151522
TCF1|CTNNB1|in vivo|12107263,11266540
TCF3|CTNNB1|in vivo|12107263
LEF1|CTNNB1|in vitro;in vivo|12556497,8757136
MUC1|CTNNB1|in vitro;in vivo|11877440,11483589,9139698,11152665
ERBB2|CTNNB1|in vitro;in vivo|7702605
CCND1|CTNNB1|in vivo|11836555,17208333
PIK3R1|CTNNB1|in vitro;in vivo|11716761,10477752
PECAM1|CTNNB1|in vitro;in vivo|10801826
APC|CTNNB1|in vitro;in vivo|12000790,9482734,7890674
BCL2L11|RKHD1|in vitro;in vivo;yeast 2-hybrid|14769789
PTPN6|CTNNB1|in vitro;in vivo|12571228,15588985
PTPN1|CTNNB1|in vivo|12377785
PTPRZ1|CTNNB1|in vivo|10706604
FER|CTNNB1|in vitro|12640114
PTPRF|CTNNB1|in vitro;in vivo|12095414,9245795
NR5A1|CTNNB1|in vitro;yeast 2-hybrid|12554773
SRC|CTNNB1|in vitro|11279024
TGFBR1|CTNNB1|in vivo|12000714
CDH1|CTNNB1|in vitro|9512503
USP9X|CTNNB1|in vivo|10620020
TBL1X|CTNNB1|in vitro;yeast 2-hybrid|11389839
AR|CTNNB1|in vitro;yeast 2-hybrid|11916967,12588987
CREBBP|CTNNB1|in vivo|11973335
DSC3|CTNNB1|in vivo|10769211
CSNK1A1|CTNNB1|in vitro;in vivo|12000790,11955436
CASP3|CTNNB1|in vivo|9348292
CHUK|CTNNB1|in vitro;in vivo|11527961
CSNK1D|CTNNB1|in vitro|12000790,11955436
PTPRJ|CTNNB1|in vivo|12370829
SMAD4|CTNNB1|in vivo|12000714
PIN1|CTNNB1|in vitro;in vivo|11533658
CDH5|CTNNB1|in vivo|12413882
PKD1|CTNNB1|in vitro;in vivo|11274246
DVL1|CTNNB1|in vivo|10806215
SMAD2|CTNNB1|in vivo|12000714
DVL3|CTNNB1|in vitro;in vivo|10806215
CCND3|ATF5|in vitro;in vivo;yeast 2-hybrid|15358120
CASP8|CTNNB1|in vivo|12189238
TCF7L2|CTNNB1|in vitro|11713476,12861022
PTPRU|CTNNB1|in vivo|12501215
PTPRK|CTNNB1|in vitro;in vivo|8663237
FHL2|CTNNB1|in vitro;in vivo|12466281
GRIN2D|CTNNB1|in vivo|10862698
PKP2|CTNNB1|in vivo;yeast 2-hybrid|11790773
CDH8|CTNNB1|in vitro;in vivo|9521872
SMAD3|CTNNB1|in vitro|12000714
PTPN14|CTNNB1|in vitro;in vivo|12808048
CA9|CTNNB1|in vitro;in vivo|14567991
SMARCA4|CTNNB1|in vivo|11532957
IKBKB|CTNNB1|in vitro;in vivo|11527961
IQGAP1|CTNNB1|in vitro;in vivo|11734550,12446675
CDK5R1|CTNNB1|in vitro;in vivo;yeast 2-hybrid|11168528,10753743
BTRC|CTNNB1|in vitro;in vivo|12114015,11818547
AXIN1|CTNNB1|in vitro|12000790,10488109
AXIN2|CTNNB1|in vitro;in vivo;yeast 2-hybrid|10966653,9566905
DLG5|CTNNB1|in vivo|12657639
GNA13|CTNNB1|in vitro|11136230
SLC9A3R1|CTNNB1|in vitro;in vivo|12830000
