gene1|gene2|experiment_type|reference
FGFR3|STAT3|in vitro;in vivo|11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213
FGFR4|STAT3|in vitro;in vivo|11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213
NR3C1|STAT3|in vivo|14522952,9388192
HSP90AA1|STAT3|in vivo|12559950
HCK|STAT3|in vitro;in vivo|11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213
TCF1|STAT3|in vivo|11134330
IL2RB|STAT3|in vivo|10602027
IL2RA|STAT3|in vivo|10602027
JAK1|STAT3|in vitro;in vivo|11722592,11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,8272872,9566874
JAK2|STAT3|in vitro;in vivo|10925297,11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213
IL6R|STAT3|in vivo|10982829
LCK|STAT3|in vivo|10825200
MYOD1|STAT3|in vitro;in vivo|12947115
NFKB1|STAT3|in vitro;in vivo|12057007
RELA|STAT3|in vitro;in vivo|12057007
RET|STAT3|in vitro;in vivo|11536047,12637586,15485908
MET|STAT3|in vivo|9440692
JUN|STAT3|in vitro;in vivo|10490649
CCND1|STAT3|in vivo|11279133
EIF2AK2|STAT3|in vivo|11350938
PTPN11|STAT3|in vivo|11594781
FER|STAT3|in vitro;in vivo|10878010,12738762
MAPK1|STAT3|in vitro;in vivo|11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138
PRKCD|STAT3|in vitro;in vivo|11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138,11335711
RPA2|STAT3|in vitro;in vivo;yeast 2-hybrid|10875894
FES|STAT3|in vitro;in vivo|9714332
SRC|STAT3|in vitro;in vivo|8657134,11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,8272872,9566874
BMX|STAT3|in vivo|10688651
AR|STAT3|in vitro;in vivo|11751884,12804609
SYK|STAT3|in vivo|10825200
CREBBP|STAT3|in vitro;in vivo|15649887
JAK3|STAT3|in vivo|10037026
STAT1|STAT3|in vivo|12070153
IL6ST|STAT3|in vivo|12361954
GHR|STAT3|in vivo|8923468
LEPR|STAT3|in vivo|8608603
MAPK8|STAT3|in vitro;in vivo|11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138
IRF2|EP300|in vitro;in vivo|11304541
GTF2I|STAT3|in vitro;in vivo|9584171
MAPK3|STAT3|in vitro;in vivo|11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138
PDIA3|STAT3|in vitro;in vivo|12060494
RAC1|STAT3|in vivo;yeast 2-hybrid|11021801
FOXM1|STAT3|in vivo|11861839
KHDRBS1|STAT3|in vivo|11585385
IL1RAP|STAT3|in vivo|9923604
NCOA1|STAT3|in vitro;in vivo|11773079
EP300|STAT3|in vitro;in vivo|10205054,15649887
TSHR|STAT3|in vitro;in vivo|10809230
NMI|STAT3|in vitro|9989503
PTPN2|STAT3|in vitro;in vivo|12359225,15588985
RPS6KA5|STAT3|in vivo|12763138
